layer,n_tasks,mean_new_kills,total_new_kills,mean_cumulative_score,total_tokens,total_runtime_sec,total_cost_usd,total_llm_calls,productive_calls,invalid_calls,zero_kill_calls,total_prompt_chars,total_targets,mean_cluster_kill_consistency,tokens_per_new_kill,runtime_sec_per_new_kill,mean_prompt_chars_per_call,targets_per_call,productive_call_rate
Layer1,50,13.94,697,0.84640018,401473,2405.9814,0.0,110,47,9,54,1526319,206,0.949136,576.0014347202296,3.45191018651363,13875.627272727274,1.8727272727272728,0.42727272727272725
Layer2,30,3.466666666666667,104,0.9135939333333333,252208,1546.2626,0.28187025,61,40,2,19,436218,130,0.9491499999999999,2425.076923076923,14.867909615384615,7151.11475409836,2.1311475409836067,0.6557377049180327
Layer3,21,0.47619047619047616,10,0.8979909523809524,108764,1058.3842,0.930629,27,8,1,18,176150,88,0.9332333333333332,10876.4,105.83842,6524.074074074074,3.259259259259259,0.2962962962962963
